Main General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;Attributes;;;Base Stats;;;;;;Base Growth;;;;;;;General Lvl; 44 ;
#99;Rostam; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 95 ; 80 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 10 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 445 ; 369 ; 347 ; 288 ; 244 ; 242 ; 258 ; 244 ; 242 ; 258 ; 244 ; 242 ; 3.423 ; 1.161 ; 774 ; 744 ; 744 ; 258 ; 244 ; 242 ; 135 ; 126 ; 125 ; 1.741,49 ; 1.669,57 ; 1.658,31 ; 9,42 ; 8,87 ; 8,78 ; 23,44 ; 22,07 ; 21,85 ;;;;
#100;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#101;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#102;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#103;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#104;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#105;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#106;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#107;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#108;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#109;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#110;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#111;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; 192 ; 48 ; 48 ; 48 ; 48 ; 16 ; 16 ; 16 ; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
Assistant General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;;;;;;;;;;;;;;;;;;;
#;General;ATK;DEF;HP;ATK2;DEF3;HP4;ATK5;DEF6;HP7;ATK8;DEF9;HP10;ATK11;DEF12;HP13;ATK14;DEF15;HP16;ATK17;DEF18;HP19;ATK20;DEF21;HP22;ATK23;DEF24;HP25;ATK26;DEF27;HP28;ATK29;DEF30;HP31;ATK32;DEF33;HP34;ATK232;DEF243;HP254;ATK265;DEF276;HP287;ATK298;DEF309;HP3110;ATK3211;DEF3312;HP3413;ATK35;DEF36;HP37;ATK38;DEF39;HP40;ATK41;DEF42;HP43;ATK44;DEF45;HP46;Totals;Mounted;Ground;Ranged;Siege;;;;;;;;;;;;;;;;;;;
#1;*Zhou Yu; -   ; 20 ; 20 ; -   ; 20 ; 20 ; 40 ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 37 ; -   ; -   ; 37 ; -   ; -   ; 37 ; 25 ; 25 ; 47 ; 25 ; 35 ; 10 ; 10 ; 20 ; 10 ; 10 ; 20 ; 10 ; 10 ; 20 ; 10 ; 10 ; 20 ; 47 ; 30 ; 40 ; 47 ; 30 ; 40 ; 87 ; 35 ; 45 ; 97 ; 35 ; 55 ; 588 ; 117 ; 117 ; 167 ; 187 ;;;;;;;;;;;;;;;;;;;
#2;Hersilia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 30 ; 70 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 16 ; -   ; 38 ; 21 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 46 ; 30 ; 163 ; 126 ; 90 ; 470 ; -   ; -   ; 91 ; 379 ;;;;;;;;;;;;;;;;;;;
#3;Francis I of France; -   ; -   ; -   ; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 35 ; 35 ; 75 ; 55 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 35 ; 35 ; 145 ; 125 ; 110 ; -   ; -   ; -   ; -   ; -   ; -   ; 460 ; 80 ; 380 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#4;*Isaac Brock; 30 ; -   ; 30 ; 50 ; 20 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 10 ; 56 ; 35 ; 30 ; 6 ; -   ; 10 ; 6 ; -   ; 10 ; 5 ; 10 ; 10 ; 35 ; 20 ; 20 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 41 ; 10 ; 50 ; 141 ; 75 ; 80 ; 11 ; 5 ; 15 ; 11 ; 5 ; 15 ; 459 ; 101 ; 296 ; 31 ; 31 ;;;;;;;;;;;;;;;;;;;
#5;Zhang Fei; -   ; 40 ; -   ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 35 ; 35 ; 66 ; 45 ; 35 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 75 ; 35 ; 126 ; 95 ; 100 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 459 ; 126 ; 321 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#6;Tachibana; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 35 ; 35 ; -   ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 50 ; 50 ; 10 ; 30 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 105 ; 95 ; 95 ; 10 ; 65 ; 65 ; 435 ; -   ; -   ; 295 ; 140 ;;;;;;;;;;;;;;;;;;;
#7;Henry IV; 55 ; 40 ; 55 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 65 ; 65 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 140 ; 115 ; 130 ; 10 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 435 ; 385 ; 50 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#8;Visconti; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 65 ; 65 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 15 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 150 ; 140 ; 120 ; 10 ; -   ; -   ; 420 ; -   ; -   ; 410 ; 10 ;;;;;;;;;;;;;;;;;;;
#9;James Cook; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 40 ; -   ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 20 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 5 ; 15 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 140 ; 65 ; 95 ; 10 ; 40 ; 45 ; 395 ; -   ; -   ; 300 ; 95 ;;;;;;;;;;;;;;;;;;;
#10;Ahmose I; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 10 ; 55 ; 10 ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 23 ; 15 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 163 ; 80 ; 105 ; 10 ; -   ; 35 ; 393 ; -   ; -   ; 348 ; 45 ;;;;;;;;;;;;;;;;;;;
#11;Stephen II; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 30 ; 30 ; 75 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 5 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 30 ; 30 ; 135 ; 85 ; 100 ; 390 ; -   ; -   ; 70 ; 320 ;;;;;;;;;;;;;;;;;;;
#12;Niccolo Piccinino; -   ; 45 ; -   ; 60 ; 45 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 80 ; 20 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 45 ; -   ; 145 ; 75 ; 115 ; -   ; -   ; -   ; -   ; -   ; -   ; 390 ; 55 ; 335 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#13;Franz Joseph; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 40 ; -   ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 115 ; 100 ; 90 ; -   ; 40 ; 40 ; 385 ; -   ; -   ; 305 ; 80 ;;;;;;;;;;;;;;;;;;;
#14;Lucilla; 50 ; -   ; -   ; 50 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 51 ; 35 ; 45 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; 30 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 56 ; -   ; -   ; 131 ; 85 ; 95 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 379 ; 56 ; 311 ; 6 ; 6 ;;;;;;;;;;;;;;;;;;;
#15;Champlain; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 55 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; 125 ; 105 ; 105 ; 375 ; -   ; -   ; 40 ; 335 ;;;;;;;;;;;;;;;;;;;
#16;Francis Drake; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 40 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 75 ; 60 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 135 ; 110 ; 120 ; 375 ; -   ; -   ; 10 ; 365 ;;;;;;;;;;;;;;;;;;;
#17;Gao Changgong; -   ; -   ; -   ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; -   ; -   ; 75 ; 55 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; -   ; -   ; 135 ; 120 ; 65 ; -   ; -   ; -   ; -   ; -   ; -   ; 375 ; 55 ; 320 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#18;Maria Carolina; -   ; -   ; -   ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 60 ; 20 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 20 ; 5 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; -   ; -   ; 130 ; 65 ; 120 ; -   ; -   ; -   ; -   ; -   ; -   ; 375 ; 60 ; 315 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#19;Mouri Motonari; 55 ; 55 ; 35 ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 55 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 15 ; 5 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 135 ; 125 ; 60 ; 10 ; 10 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 375 ; 320 ; 55 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#20;Seo Shonagon; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; -   ; 40 ; 45 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; -   ; -   ; 65 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 45 ; -   ; 105 ; 95 ; 80 ; 370 ; -   ; -   ; 90 ; 280 ;;;;;;;;;;;;;;;;;;;
#21;Sigurd; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 30 ; 45 ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 50 ; 50 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 125 ; 100 ; 105 ; 10 ; 30 ; -   ; 370 ; -   ; -   ; 330 ; 40 ;;;;;;;;;;;;;;;;;;;
#22;Gonzalo; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; -   ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 50 ; 60 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 155 ; 60 ; 125 ; 20 ; -   ; -   ; 360 ; -   ; -   ; 340 ; 20 ;;;;;;;;;;;;;;;;;;;
#23;Melisande; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 6 ; 25 ; 25 ; 56 ; 35 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 5 ; 5 ; 20 ; 5 ; 5 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 21 ; 30 ; 30 ; 116 ; 80 ; 70 ; 359 ; 6 ; 6 ; 81 ; 266 ;;;;;;;;;;;;;;;;;;;
#24;Haakon Haraldsson; 50 ; 40 ; 50 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 70 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 125 ; 120 ; 70 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 355 ; 315 ; 40 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#25;Hermes; 50 ; -   ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 50 ; 20 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 135 ; 60 ; 80 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 355 ; 275 ; 80 ; -   ; -   ;;;;;;;;;;;;;;;;;;;
#26;Shapur I; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; 55 ; 40 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 85 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 40 ; -   ; 150 ; 60 ; 85 ; 345 ; -   ; -   ; 50 ; 295 ;;;;;;;;;;;;;;;;;;;
#27;*Takenaka; -   ; 45 ; -   ; -   ; 45 ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 30 ; -   ; 6 ; 30 ; -   ; 6 ; 30 ; -   ; 46 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 75 ; -   ; 6 ; 75 ; -   ; 6 ; 30 ; -   ; 96 ; 40 ; 10 ; 344 ; 81 ; 81 ; 36 ; 146 ;;;;;;;;;;;;;;;;;;;
